Year,Session,Sector,Driver1,Driver2,NOR_FasterPct,VER_FasterPct,AvgSpeedDelta_kmh,DominantDriver
2026,FP1,S1,NOR,VER,77.7,22.3,3.0,NOR
2026,FP1,S2,NOR,VER,75.9,24.1,5.6,NOR
2026,FP1,S3,NOR,VER,68.5,31.5,2.3,NOR
2026,Q,S1,NOR,VER,29.5,70.5,-0.6,VER
2026,Q,S2,NOR,VER,60.2,39.8,3.0,NOR
2026,Q,S3,NOR,VER,36.9,63.1,-2.0,VER
